,BC01,BC02,BC03,BC04,BC05,BC06,BC07,BC08,BC09,BC10,BC11,BC12
Barcode total count,90502.0,96384.0,13559.0,65033.0,114032.0,111664.0,27294.0,79342.0,81997.0,80869.0,114584.0,147803.0
above 99%,24.0,45.0,2.0,11.0,43.0,38.0,3.0,23.0,20.0,14.0,34.0,29.0
above 95%,1718.0,4440.0,928.0,5883.0,8753.0,10176.0,3741.0,3952.0,8188.0,3082.0,5621.0,5051.0
above 90%,16864.0,41468.0,8877.0,45244.0,77960.0,84891.0,23296.0,44279.0,63750.0,41275.0,77759.0,65003.0
above 85%,47749.0,77543.0,12889.0,63269.0,108956.0,109151.0,27082.0,71831.0,80615.0,72510.0,109331.0,121973.0
above 80%,85000.0,94571.0,13539.0,65006.0,113919.0,111614.0,27288.0,79022.0,81968.0,80494.0,114442.0,144912.0
above75%,90502.0,96384.0,13559.0,65033.0,114032.0,111664.0,27294.0,79342.0,81997.0,80869.0,114584.0,147803.0
above 99% percentage,0.02651875096682946,0.04668824701195219,0.014750350320820118,0.0169144895668353,0.03770871334362284,0.03403066341882791,0.010991426687183996,0.028988429835396134,0.024391136261082722,0.01731194895448194,0.02967255463240941,0.019620711352272956
above 95% percentage,1.8983005900422092,4.606573705179283,6.8441625488605355,9.04617655651746,7.67591553248211,9.113053446052444,13.706309078918444,4.980968465629805,9.985731185287266,3.811101905550953,4.905571458493332,3.4173866565631283
above 90% percentage,18.633842346025503,43.02373837981408,65.4694298989601,69.5708332692633,68.36677423881015,76.02360653388737,85.35209203487946,55.807768899195885,77.74674683220117,51.039335221160144,67.86200516651539,43.97948620799308
above 85% percentage,52.76015999646416,80.45214973439575,95.05863264252527,97.2875309458275,95.54861793180861,97.74949849548646,99.22327251410566,90.53338710897128,98.31457248435919,89.66352990639182,95.41559030929274,82.52403537140654
above 80% percentage,93.92057634085434,98.11898240371846,99.8524964967918,99.95848261651776,99.90090500912025,99.95522281129101,99.97801714662563,99.59668271533361,99.96463285242143,99.53628708157638,99.87607344829993,98.04401805105445
above75% percentage,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
